Virgil van Dijk,193cm,33년,€3500만,"1,080",0.08,0.50,0.08,0.02,76.67,91.3%,94.17,0.17,4.33,66.7%,0.08,0.00
Andrew Robertson,178cm,30년,€3500만,850,0.00,0.32,0.00,0.16,52.94,88.0%,81.00,0.32,1.91,47.4%,0.11,0.00
Konstantinos Tsimikas,179cm,28년,€2300만,229,0.00,0.79,0.00,0.23,62.10,91.3%,95.90,0.39,7.07,66.7%,0.00,0.00
Trent Alexander-Arnold,180cm,26년,€7200만,872,0.00,1.03,0.10,0.31,37.16,72.7%,75.65,1.03,4.44,51.2%,0.21,0.00
Ibrahima Konaté,192cm,25년,€5000만,975,0.09,0.74,0.09,0.02,62.58,91.5%,78.18,0.09,4.43,71.6%,0.37,0.00
Jarell Quansah,190cm,21년,€2500만,45,0.00,0.00,0.00,0.00,50.00,89.3%,70.00,0.00,8.00,50.0%,0.00,0.00
Conor Bradley,181cm,21년,€1700만,230,0.00,1.96,0.00,0.07,55.57,86.1%,90.39,0.39,3.91,43.5%,0.39,0.00
Kyle Walker,178cm,34년,€1500만,558,0.00,0.81,0.00,0.19,64.68,89.9%,90.48,0.16,3.23,54.1%,0.16,0.00
John Stones,188cm,30년,€4000만,284,0.63,0.63,0.00,0.04,54.51,87.3%,70.67,0.00,3.80,70.6%,0.32,0.00
Nathan Aké,180cm,29년,€4500만,120,0.00,1.50,0.00,0.03,82.50,94.8%,95.25,0.75,3.00,50.0%,0.00,0.00
Manuel Akanji,186cm,29년,€5000만,872,0.00,0.72,0.00,0.09,78.13,95.2%,90.41,0.41,2.89,46.7%,0.21,0.00
Ruben Dias,187cm,27년,€8500만,726,0.00,1.36,0.00,0.08,91.36,94.0%,106.86,0.12,3.10,61.0%,0.37,0.00
Josko Gvardiol,185cm,22년,€8000만,"1,033",0.26,1.57,0.00,0.16,67.35,93.1%,91.13,0.70,4.36,58.1%,0.00,0.00
