Mohamed Salah,175cm,32년,€5700만,0.85,3.41,0.51,22.18,74.5%,47.60,9.90,2.22,4.09,47.5%,2.73,0.09,0.00
Diogo Jota,178cm,27년,€5500만,0.36,2.54,0.36,12.68,68.0%,34.04,6.16,1.81,4.53,34.7%,2.17,0.18,0.00
Cody Gakpo,193cm,25년,€5500만,0.19,2.83,0.19,27.74,86.5%,52.26,4.34,0.38,5.66,65.2%,4.34,0.57,0.00
Luis Diaz,180cm,27년,€7000만,0.66,2.78,0.26,28.19,86.2%,53.34,7.28,2.25,5.96,39.8%,4.24,0.00,0.00
Darwin Nunez,187cm,25년,€7500만,0.35,2.27,0.17,12.41,74.0%,31.11,5.42,2.27,5.24,37.5%,3.15,0.35,0.00
Jack Grealish,175cm,29년,€5700만,0.00,1.74,0.25,43.64,89.8%,66.45,13.14,0.74,5.95,63.2%,3.47,0.50,0.00
Bernardo Silva,173cm,30년,€7500만,0.00,1.75,0.29,49.58,90.9%,71.20,8.57,1.17,3.02,39.7%,3.12,0.29,0.00
Erling Haaland,194cm,24년,€1.9억,1.00,5.17,0.00,6.59,66.9%,22.10,7.92,1.17,2.50,35.7%,0.75,0.17,0.00
Phil Foden,171cm,24년,€1.4억,0.00,3.27,0.16,41.65,87.6%,66.97,4.90,0.98,3.43,52.5%,2.94,0.00,0.00
Jérémy Doku,171cm,22년,€7000만,0.22,2.21,0.22,37.59,86.3%,72.97,10.39,2.65,8.85,58.0%,3.98,0.00,0.00
Oscar Bobb,174cm,21년,€2800만,0.31,1.22,0.31,45.15,88.1%,73.53,10.37,1.83,6.71,56.4%,5.19,0.00,0.00
Savinho,176cm,20년,€5500만,0.00,2.54,0.30,39.10,85.3%,72.54,9.40,2.24,7.01,54.0%,4.18,0.30,0.00
Christopher Nkunku,178cm,27년,€6800만,0.55,4.39,0.00,39.51,94.7%,64.76,9.88,1.10,7.68,48.3%,6.59,0.55,0.00
