Alexis Mac Allister,174cm,25년,€7000만,808,0.00,0.78,0.00,0.15,45.33,86.4%,67.61,1.45,5.46,0.45,0.00
Dominik Szoboszlai,185cm,24년,€8000만,837,0.11,1.83,0.11,0.16,42.15,86.7%,62.47,0.54,4.62,0.32,0.00
Curtis Jones,182cm,23년,€4000만,471,0.19,1.91,0.19,0.03,48.92,94.8%,68.79,2.29,4.59,0.00,0.00
Ryan Gravenberch,190cm,22년,€3000만,"1,079",0.00,0.58,0.08,0.12,55.22,89.1%,76.32,0.33,5.67,0.17,0.00
Kevin De Bruyne,181cm,33년,€4500만,389,0.23,3.70,0.23,0.54,62.47,83.9%,99.25,2.31,3.70,0.46,0.00
Ilkay Gündogan,180cm,34년,€1700만,717,0.00,1.51,0.13,0.17,58.74,93.0%,79.46,0.75,4.64,0.00,0.00
Mateo Kovacic,178cm,30년,€3500만,880,0.31,2.05,0.00,0.13,73.94,93.7%,92.45,1.43,4.50,0.31,0.00
Rodri,190cm,28년,€1.4억,66,0.00,0.00,0.00,0.12,77.73,93.4%,92.73,0.00,9.55,0.00,0.00
Matheus Nunes,183cm,26년,€5200만,291,0.00,0.93,0.62,0.39,41.44,85.4%,68.35,1.55,3.71,0.00,0.00
Rico Lewis,169cm,20년,€3500만,846,0.00,0.53,0.21,0.06,46.17,91.4%,67.98,1.17,4.68,0.21,0.00
Cole Palmer,189cm,22년,€9000만,"1,046",0.60,3.27,0.43,0.22,29.00,80.6%,55.84,0.95,3.61,0.26,0.00
Moisés Caicedo,178cm,23년,€8000만,"1,057",0.09,0.60,0.17,0.11,49.64,89.0%,70.84,0.68,5.36,0.26,0.00
Enzo Fernández,178cm,23년,€8000만,700,0.13,1.03,0.26,0.13,45.26,82.6%,72.64,1.16,5.27,0.13,0.00
Romeo Lavia,181cm,20년,€4000만,350,0.00,0.00,0.26,0.06,43.97,92.4%,60.17,1.54,4.11,0.51,0.00
Cesare Casadei,185cm,21년,€1200만,71,0.00,1.00,0.00,0.02,54.00,87.1%,78.00,2.00,2.00,0.00,0.00
Renato Veiga,188cm,21년,€330만,165,0.00,1.64,0.00,0.08,56.73,84.6%,87.82,0.00,4.36,1.09,0.00
